"AppID","Name","Achievements"
"2196120","Baker Business 3","91"
"2285520","DOOMSDAY SURVIVORS","91"
"2475020","Light Speed Ride Out","91"
"1127500","Mini Motorways","90"
"264690","Coin Crypt","90"
"1481000","Triversal","90"
"700600","Evil Genius 2: World Domination","90"
"942340","Achievement Collector: Space","90"
"876650","Aground","90"
"916540","Fatal Hour: Petroleum","90"
"1321030","No one lives in heaven","90"
"1515900","Heaven Dust 2","90"
"2012000","MY Neko Waifu!","90"
"1176470","Terra Invicta","90"
"1963520","Cygnus Enterprises","90"
"2333530","Dinobot and Tiara Present: ApplePop","90"
"2291760","Papa's Freezeria Deluxe","90"
"2375540","Hentai Casual Jigsaw - Witches","90"
"2395470","DungeonSmash","90"
"2231040","Coloring Game: Studio","90"
"2566520","Breaking Box: Walk!","90"
"2628560","Breaking Box: Rush!","90"
"1111460","小白兔电商~Bunny e-Shop","89"
"1734990","The Netrunner Awaken1ng","89"
"1466860","Age of Empires IV","89"
"646500","Egypt: Old Kingdom","89"
"244050","Rise of Flight United","89"
"555260","The Butterfly Sign: Human Error","89"
"288860","Realms of Arkania: Star Trail","89"
"2001800","Spintales","89"
"2182590","The Fernweh Saga: Book One","89"
